dataset,total_files,files_with_atc,atc_success_rate,mean_atc_score,std_atc_score,mean_f_measure,std_f_measure,spearman_correlation,spearman_p_value,pearson_correlation,pearson_p_value
msmd,4203,2628,62.526766595289075,1.716587948657534,1.3654872342685973,0.47827456849315064,0.3452614969831553,-0.009366704077807418,0.6312579602480652,-0.032141182256114,0.09949064808448367
pop909,7080,2208,31.186440677966104,0.25020303085144924,0.2965229410041076,0.27338684329710145,0.20103447553513618,-0.013660321363006081,0.5211613707304179,0.013140977136604321,0.5371271560031098
slakh2100,1752,1429,81.56392694063926,2.458863051649405,1.2739642481365219,0.007575636808957313,0.008613738488499171,0.09057480063778611,0.0006081108301725671,0.1094262572399969,3.39253734256774e-05
