metric,correlation,p_value
seg_avg_poly,0.03527234975388062,0.040460468203159225
avg_polyphony,0.03527234975388062,0.040460468203159225
melodic_interval_entropy_piece,0.03469145625011543,0.043878305822610326
pitch_class_entropy_piece,0.030113926698420827,0.08025478287217191
std_polyphony,-0.02403422137144585,0.1627306084361539
seg_poly_std,-0.02403422137144585,0.1627306084361539
ioi_entropy_piece,0.018925156740842924,0.2717055178441705
tonal_certainty_piece,0.004829509477507496,0.7791193551858124
