,pychord_atc_score,chordino_atc_score,f_measure
pychord_atc_score,1.0,0.7057262703070711,-7.617175627248471e-05
chordino_atc_score,0.7057262703070711,1.0,-0.006259085085347892
f_measure,-7.617175627248471e-05,-0.006259085085347892,1.0
