,pychord_atc_score,chordino_atc_score,f_measure
pychord_atc_score,1.0,0.21524177949595846,0.5653156434634188
chordino_atc_score,0.2152417794959585,1.0,0.05879488309713572
f_measure,0.5653156434634188,0.05879488309713572,1.0
