,pychord_atc_score,chordino_atc_score,f_measure
pychord_atc_score,1.0,0.49643057839121385,0.3202582269165683
chordino_atc_score,0.4964305783912138,1.0,0.23261613635013467
f_measure,0.3202582269165683,0.23261613635013467,1.0
