metric,correlation,p_value
melodic_interval_entropy_piece,-0.08307769809719014,0.01589692886668203
std_polyphony,0.06427799716945222,0.062275770994041274
seg_poly_std,0.06427799716945222,0.062275770994041274
seg_poly_density,-0.06207096497501053,0.0718309245303689
polyphony_density,-0.06207096497501053,0.0718309245303689
seg_avg_poly,-0.04506753972685875,0.19139734655749024
avg_polyphony,-0.04506753972685875,0.19139734655749024
ioi_entropy_piece,0.040497207983366215,0.24045395429016736
pitch_class_entropy_piece,-0.03712895715831887,0.2818600594525702
max_polyphony,0.012173718270008658,0.7242864025305081
seg_max_poly,0.012173718270008658,0.7242864025305081
tonal_certainty_piece,0.009358360023050837,0.7862708465594322
