,pychord_atc_score,chordino_atc_score,f_measure
pychord_atc_score,1.0,0.21524177949595846,0.37889226745359766
chordino_atc_score,0.2152417794959585,1.0,0.023210830734985588
f_measure,0.37889226745359766,0.023210830734985588,1.0
