filename_base,dataset_mapped,pychord_atc_score,chordino_atc_score,dataset_name,f_measure
Track00864,Slakh 2100,4.4035826,3.7248995,Slakh 2100,0.003391
Track01091,Slakh 2100,3.670886,2.40625,Slakh 2100,0.001841
Track00953,Slakh 2100,3.251613,3.1626506,Slakh 2100,0.000265
Track01178,Slakh 2100,2.944934,2.090909,Slakh 2100,0.004645
Track00494,Slakh 2100,2.8411765,1.6470588,Slakh 2100,0.002842
Track01027,Slakh 2100,4.1939654,2.7259614,Slakh 2100,0.009983
Track00708,Slakh 2100,0.574359,1.55706,Slakh 2100,0.016683
Track01354,Slakh 2100,3.1226766,2.1304348,Slakh 2100,0.009762
Track00576,Slakh 2100,2.7601626,1.8056074,Slakh 2100,0.006937
Track01401,Slakh 2100,4.379888,3.7234042,Slakh 2100,0.00051
Track00723,Slakh 2100,1.0425532,0.6363636,Slakh 2100,0.00997
Track00798,Slakh 2100,1.3043479,2.2258065,Slakh 2100,0.01651
Track00940,Slakh 2100,3.5205479,2.631783,Slakh 2100,0.002152
Track00295,Slakh 2100,4.347599,3.706693,Slakh 2100,0.00545
Track00599,Slakh 2100,0.71794873,1.9596678,Slakh 2100,0.014238
Track00737,Slakh 2100,2.116432,4.503185,Slakh 2100,0.023901
Track00338,Slakh 2100,4.551985,3.1,Slakh 2100,0.00128
Track01076,Slakh 2100,3.0027323,1.8019803,Slakh 2100,0.009151
Track00405,Slakh 2100,2.6630435,1.9090909,Slakh 2100,0.007954
Track00769,Slakh 2100,2.6985507,1.9328358,Slakh 2100,0.000434
Track00774,Slakh 2100,2.8945148,2.161074,Slakh 2100,0.004997
Track01260,Slakh 2100,0.4090909,1.2216982,Slakh 2100,0.006211
Track00164,Slakh 2100,2.809859,1.7294117,Slakh 2100,0.000599
Track00502,Slakh 2100,3.12,3.5686274,Slakh 2100,0.003276
Track00357,Slakh 2100,1.930147,1.1032609,Slakh 2100,0.004295
Track00218,Slakh 2100,2.8127854,1.8089888,Slakh 2100,0.003636
Track01324,Slakh 2100,3.950096,3.251185,Slakh 2100,0.005562
Track00264,Slakh 2100,3.4267015,3.3,Slakh 2100,0.013061
Track00119,Slakh 2100,4.4467483,3.9456522,Slakh 2100,0.018843
Track01382,Slakh 2100,2.121212,1.8472222,Slakh 2100,0.001864
Track00654,Slakh 2100,2.5566287,1.3850932,Slakh 2100,0.008621
Track00971,Slakh 2100,3.8276596,2.9282868,Slakh 2100,0.021026
Track00201,Slakh 2100,3.0341728,2.3062015,Slakh 2100,0.002617
Track00305,Slakh 2100,0.29166666,0.45515695,Slakh 2100,0.001573
Track00758,Slakh 2100,3.6424417,3.1802468,Slakh 2100,0.017866
Track00906,Slakh 2100,0.27893737,1.225,Slakh 2100,0.004895
Track01274,Slakh 2100,4.0993886,3.3108108,Slakh 2100,0.005286
Track00385,Slakh 2100,1.344694,1.8333334,Slakh 2100,0.005438
Track00834,Slakh 2100,3.5334609,3.4357798,Slakh 2100,0.0
Track01185,Slakh 2100,6.0576925,0.8395552,Slakh 2100,0.001213
Track01048,Slakh 2100,2.75,1.3611112,Slakh 2100,0.0
Track01108,Slakh 2100,0.74703556,1.7111111,Slakh 2100,0.008234
Track00071,Slakh 2100,3.73822,1.5184175,Slakh 2100,0.005185
Track00136,Slakh 2100,3.4274952,2.5344827,Slakh 2100,0.002587
Track00229,Slakh 2100,1.3216783,0.8347996,Slakh 2100,0.008582
Track00380,Slakh 2100,4.07563,3.5641549,Slakh 2100,0.012366
Track00522,Slakh 2100,2.2632794,1.6445783,Slakh 2100,0.002143
Track01236,Slakh 2100,4.002315,2.5763888,Slakh 2100,0.000617
Track00418,Slakh 2100,4.0963573,3.2307692,Slakh 2100,0.002714
Track00516,Slakh 2100,2.3333333,1.5657895,Slakh 2100,0.002585
Track01314,Slakh 2100,3.1982758,1.329114,Slakh 2100,0.002751
Track00152,Slakh 2100,3.5942307,3.5663958,Slakh 2100,0.017757
Track00784,Slakh 2100,3.4477613,2.8712575,Slakh 2100,0.006786
Track00542,Slakh 2100,6.159782,4.5578094,Slakh 2100,0.006265
Track00672,Slakh 2100,3.7460938,3.0979729,Slakh 2100,0.002907
Track01170,Slakh 2100,1.1666666,1.0297619,Slakh 2100,0.012096
Track00873,Slakh 2100,0.4625,0.37448558,Slakh 2100,0.007657
Track00154,Slakh 2100,2.2864323,2.1687117,Slakh 2100,0.003773
Track00901,Slakh 2100,0.95238096,0.64641553,Slakh 2100,0.008512
Track00028,Slakh 2100,2.2390573,1.7224606,Slakh 2100,0.009848
Track00551,Slakh 2100,3.0689654,1.5555556,Slakh 2100,0.003016
Track01462,Slakh 2100,3.086207,2.3063583,Slakh 2100,0.001631
Track01086,Slakh 2100,2.5662432,2.0249376,Slakh 2100,0.014713
Track01427,Slakh 2100,2.3614457,2.36722,Slakh 2100,0.000861
Track00318,Slakh 2100,1.3921568,1.0703883,Slakh 2100,0.013807
Track01497,Slakh 2100,3.2574258,2.0454545,Slakh 2100,0.004947
Track00244,Slakh 2100,2.8504155,2.526087,Slakh 2100,0.001694
Track00106,Slakh 2100,3.248366,3.36,Slakh 2100,0.011429
Track00857,Slakh 2100,2.2519379,1.9850746,Slakh 2100,0.009857
Track00622,Slakh 2100,2.0,0.47841728,Slakh 2100,0.006399
Track00583,Slakh 2100,0.62222224,0.88,Slakh 2100,0.001973
Track01060,Slakh 2100,3.6102362,2.969697,Slakh 2100,0.007216
Track00700,Slakh 2100,2.8735409,2.4956522,Slakh 2100,0.034735
Track00958,Slakh 2100,3.8479125,3.700491,Slakh 2100,0.004698
Track00014,Slakh 2100,2.9747996,1.5371622,Slakh 2100,0.002692
Track00351,Slakh 2100,3.5631444,2.9862385,Slakh 2100,0.008244
Track01321,Slakh 2100,2.440367,1.05,Slakh 2100,0.000681
Track00738,Slakh 2100,3.2068062,2.9891891,Slakh 2100,0.00554
Track01477,Slakh 2100,2.8,2.3163636,Slakh 2100,0.013332
Track00452,Slakh 2100,1.6564885,0.6637931,Slakh 2100,0.001995
Track00209,Slakh 2100,3.8790932,2.5830986,Slakh 2100,0.007084
Track01197,Slakh 2100,4.2035623,3.170767,Slakh 2100,0.01395
Track01376,Slakh 2100,1.1714756,1.640327,Slakh 2100,0.009476
Track01485,Slakh 2100,3.7970479,3.0666666,Slakh 2100,0.01176
Track00731,Slakh 2100,3.1844864,1.9285715,Slakh 2100,0.001344
Track00429,Slakh 2100,0.42424244,0.73006135,Slakh 2100,0.001938
Track00805,Slakh 2100,0.0875,0.54858935,Slakh 2100,0.015862
Track01495,Slakh 2100,3.0042918,2.0416667,Slakh 2100,0.001085
Track00258,Slakh 2100,2.3171296,2.4,Slakh 2100,0.002508
Track01168,Slakh 2100,0.2716418,0.71854305,Slakh 2100,0.0
Track00027,Slakh 2100,3.234177,2.9137056,Slakh 2100,0.000908
Track01253,Slakh 2100,2.6897376,0.7879925,Slakh 2100,0.032626
Track00836,Slakh 2100,3.9497206,2.231884,Slakh 2100,0.001549
Track01008,Slakh 2100,2.7131035,2.428125,Slakh 2100,0.009169
Track00768,Slakh 2100,2.846473,1.482353,Slakh 2100,0.000598
Track01433,Slakh 2100,3.8744543,3.1784453,Slakh 2100,0.02311
Track00227,Slakh 2100,1.205438,4.1363635,Slakh 2100,0.006626
Track01043,Slakh 2100,4.1083846,2.8711865,Slakh 2100,0.005079
Track00043,Slakh 2100,0.032407407,1.6448088,Slakh 2100,0.008615
Track00406,Slakh 2100,0.7091932,1.5288461,Slakh 2100,0.006919
Track00636,Slakh 2100,3.71875,3.1349692,Slakh 2100,0.005398
Track00506,Slakh 2100,3.0,2.4552238,Slakh 2100,0.004511
Track00782,Slakh 2100,0.3668763,0.8020833,Slakh 2100,0.021373
Track00161,Slakh 2100,0.36666667,1.1106472,Slakh 2100,0.008635
Track01463,Slakh 2100,2.013072,0.8448276,Slakh 2100,0.000653
Track01335,Slakh 2100,0.9935484,1.1964285,Slakh 2100,0.000973
Track00712,Slakh 2100,2.8282828,1.5714285,Slakh 2100,0.002101
Track01379,Slakh 2100,1.037037,1.0511945,Slakh 2100,0.00695
Track00491,Slakh 2100,3.2506006,2.310116,Slakh 2100,0.019008
Track01073,Slakh 2100,1.7928222,1.4459016,Slakh 2100,0.003304
Track00856,Slakh 2100,2.2235293,1.6942675,Slakh 2100,0.005599
Track00900,Slakh 2100,3.0625,2.1940298,Slakh 2100,0.018353
Track00556,Slakh 2100,0.4375,0.07777778,Slakh 2100,0.002291
Track00989,Slakh 2100,3.900838,0.95666665,Slakh 2100,0.001258
Track01374,Slakh 2100,2.2443674,2.0601265,Slakh 2100,0.012907
Track00498,Slakh 2100,1.5718563,0.9625,Slakh 2100,0.005175
Track00335,Slakh 2100,2.844411,2.5409253,Slakh 2100,0.002983
Track00682,Slakh 2100,4.0233645,2.9320755,Slakh 2100,0.006502
Track00702,Slakh 2100,3.3411765,2.3333333,Slakh 2100,0.002768
Track00870,Slakh 2100,0.6693227,0.6927083,Slakh 2100,0.024286
Track00492,Slakh 2100,2.7586207,1.8322147,Slakh 2100,0.000601
Track00467,Slakh 2100,4.736842,3.559322,Slakh 2100,0.001704
Track01385,Slakh 2100,2.6541667,1.3482643,Slakh 2100,0.001192
Track00944,Slakh 2100,2.253819,1.894628,Slakh 2100,0.005122
Track00382,Slakh 2100,3.26178,2.2806451,Slakh 2100,0.014839
Track00234,Slakh 2100,0.25,0.81260365,Slakh 2100,0.012805
Track00986,Slakh 2100,1.640625,1.0530974,Slakh 2100,0.001917
Track00259,Slakh 2100,3.0607288,3.2124352,Slakh 2100,0.013002
Track01473,Slakh 2100,3.9559255,3.389718,Slakh 2100,0.064329
Track00469,Slakh 2100,0.17883211,1.0810126,Slakh 2100,0.004513
Track00725,Slakh 2100,1.6421052,0.7017995,Slakh 2100,0.003479
Track00394,Slakh 2100,0.175,0.17213115,Slakh 2100,0.001457
Track00108,Slakh 2100,3.3108108,3.2991803,Slakh 2100,0.042802
Track00313,Slakh 2100,2.0801888,1.4166666,Slakh 2100,0.00328
Track00143,Slakh 2100,0.65254235,0.9849246,Slakh 2100,0.015761
Track00360,Slakh 2100,5.0961146,5.130191,Slakh 2100,0.006039
Track00761,Slakh 2100,3.5,3.326996,Slakh 2100,0.003331
Track00998,Slakh 2100,0.14040114,0.69475657,Slakh 2100,0.008698
Track01007,Slakh 2100,3.9830985,3.164179,Slakh 2100,0.033126
Track01465,Slakh 2100,2.2725694,2.1225805,Slakh 2100,0.019009
Track00588,Slakh 2100,3.4958284,2.8781726,Slakh 2100,0.005658
Track00056,Slakh 2100,3.1410255,2.511628,Slakh 2100,0.007553
Track00167,Slakh 2100,3.0617697,2.7279413,Slakh 2100,0.011726
Track00048,Slakh 2100,1.8623853,0.44144145,Slakh 2100,0.000942
Track00922,Slakh 2100,1.3050847,0.44757032,Slakh 2100,0.002889
Track00093,Slakh 2100,1.0294118,0.0,Slakh 2100,0.0
Track00704,Slakh 2100,0.875,0.59808195,Slakh 2100,0.005536
Track01097,Slakh 2100,5.061828,4.4333334,Slakh 2100,0.010506
Track00303,Slakh 2100,3.891963,3.6420047,Slakh 2100,0.000569
Track00226,Slakh 2100,3.0970654,2.682243,Slakh 2100,0.007735
Track00799,Slakh 2100,1.3654321,0.8115942,Slakh 2100,0.002505
Track01346,Slakh 2100,1.2202853,1.3390964,Slakh 2100,0.016505
Track00457,Slakh 2100,3.565625,3.1387901,Slakh 2100,0.001382
Track00752,Slakh 2100,2.0263157,1.8898305,Slakh 2100,0.001389
Track00802,Slakh 2100,3.6439252,3.2354212,Slakh 2100,0.003263
Track01029,Slakh 2100,1.8944954,1.5034014,Slakh 2100,0.007514
Track00734,Slakh 2100,3.625641,3.09009,Slakh 2100,0.019643
Track00629,Slakh 2100,0.6666667,0.1069869,Slakh 2100,0.000827
Track00113,Slakh 2100,1.8918918,0.67151165,Slakh 2100,0.002577
Track00992,Slakh 2100,3.5972223,2.617886,Slakh 2100,0.002392
Track00695,Slakh 2100,3.3733332,1.7747475,Slakh 2100,0.005626
Track00448,Slakh 2100,4.1349893,3.04,Slakh 2100,0.003123
Track00839,Slakh 2100,3.1159875,1.4626865,Slakh 2100,0.001217
Track00783,Slakh 2100,3.5473554,2.8903227,Slakh 2100,0.005092
Track01072,Slakh 2100,1.9551535,2.426081,Slakh 2100,0.00605
Track00398,Slakh 2100,0.055555556,0.6965174,Slakh 2100,0.014078
Track01262,Slakh 2100,2.0568721,1.0915254,Slakh 2100,0.004396
Track00138,Slakh 2100,3.9157894,2.775862,Slakh 2100,0.007884
Track01481,Slakh 2100,2.9342806,1.6074075,Slakh 2100,0.016234
Track00171,Slakh 2100,2.1951754,1.5265957,Slakh 2100,0.00604
Track00759,Slakh 2100,4.327273,3.6646216,Slakh 2100,0.011313
Track00022,Slakh 2100,3.402174,4.8362885,Slakh 2100,0.015093
Track00304,Slakh 2100,4.1782947,4.238659,Slakh 2100,0.006297
Track01012,Slakh 2100,1.4474154,1.2661122,Slakh 2100,0.0
Track00169,Slakh 2100,2.8657718,2.409836,Slakh 2100,0.011406
Track01266,Slakh 2100,3.2299855,2.9391026,Slakh 2100,0.025709
Track00991,Slakh 2100,3.2411575,2.4285715,Slakh 2100,0.00271
Track01298,Slakh 2100,4.3239436,3.2307692,Slakh 2100,0.001814
Track01457,Slakh 2100,3.1057193,2.3333333,Slakh 2100,0.010428
Track01212,Slakh 2100,2.4324324,1.7280334,Slakh 2100,0.007415
Track00541,Slakh 2100,1.3602897,1.8025433,Slakh 2100,0.004086
Track01386,Slakh 2100,4.0024753,3.0205479,Slakh 2100,0.000256
Track00055,Slakh 2100,2.1826086,2.264706,Slakh 2100,0.017808
