filename_base,dataset_mapped,pychord_atc_score,chordino_atc_score,dataset_name,f_measure
Track01056,Slakh 2100,3.3789473,2.61244,Slakh 2100,0.009002
Track00594,Slakh 2100,3.9807038,3.1908128,Slakh 2100,0.001094
Track00331,Slakh 2100,2.9921567,0.5,Slakh 2100,0.0
Track00225,Slakh 2100,4.1005917,2.9262295,Slakh 2100,0.003505
Track00065,Slakh 2100,3.2410715,2.6798143,Slakh 2100,0.002529
Track01095,Slakh 2100,2.1041667,1.8732394,Slakh 2100,0.007813
Track01284,Slakh 2100,3.113134,3.2735295,Slakh 2100,0.001538
Track00548,Slakh 2100,3.2512255,2.6346862,Slakh 2100,0.004265
Track00874,Slakh 2100,2.155022,1.6063652,Slakh 2100,0.009315
Track00832,Slakh 2100,2.547541,1.4545455,Slakh 2100,0.002481
Track01166,Slakh 2100,4.871233,4.125,Slakh 2100,0.005269
Track00395,Slakh 2100,0.083333336,1.4813278,Slakh 2100,0.001449
Track00567,Slakh 2100,2.1588786,0.83658534,Slakh 2100,0.001237
Track00579,Slakh 2100,0.8235294,0.044094488,Slakh 2100,0.003378
Track00852,Slakh 2100,2.8938549,2.3333333,Slakh 2100,0.0
Track01115,Slakh 2100,3.334764,2.4276094,Slakh 2100,0.001344
Track01023,Slakh 2100,1.691574,0.45240894,Slakh 2100,0.005753
Track01045,Slakh 2100,1.347973,0.9327522,Slakh 2100,0.004143
Track00864,Slakh 2100,4.4035826,3.7248995,Slakh 2100,0.007463
Track01091,Slakh 2100,3.670886,2.40625,Slakh 2100,0.012226
Track00953,Slakh 2100,3.251613,3.1626506,Slakh 2100,0.004504
Track01178,Slakh 2100,2.944934,2.090909,Slakh 2100,0.01136
Track00494,Slakh 2100,2.8411765,1.6470588,Slakh 2100,0.013452
Track00238,Slakh 2100,2.1842752,1.6363636,Slakh 2100,0.001849
Track01027,Slakh 2100,4.1939654,2.7259614,Slakh 2100,0.0
Track00708,Slakh 2100,0.574359,1.55706,Slakh 2100,0.00782
Track01354,Slakh 2100,3.1226766,2.1304348,Slakh 2100,0.001078
Track00576,Slakh 2100,2.7601626,1.8056074,Slakh 2100,0.0048
Track01401,Slakh 2100,4.379888,3.7234042,Slakh 2100,0.0
Track00723,Slakh 2100,1.0425532,0.6363636,Slakh 2100,0.004622
Track00798,Slakh 2100,1.3043479,2.2258065,Slakh 2100,0.013804
Track00940,Slakh 2100,3.5205479,2.631783,Slakh 2100,0.003448
Track00295,Slakh 2100,4.347599,3.706693,Slakh 2100,0.015539
Track00599,Slakh 2100,0.71794873,1.9596678,Slakh 2100,0.001678
Track00737,Slakh 2100,2.116432,4.503185,Slakh 2100,0.000374
Track00338,Slakh 2100,4.551985,3.1,Slakh 2100,0.009392
Track01076,Slakh 2100,3.0027323,1.8019803,Slakh 2100,0.002489
Track00405,Slakh 2100,2.6630435,1.9090909,Slakh 2100,0.001171
Track00769,Slakh 2100,2.6985507,1.9328358,Slakh 2100,0.004327
Track00774,Slakh 2100,2.8945148,2.161074,Slakh 2100,0.001135
Track01260,Slakh 2100,0.4090909,1.2216982,Slakh 2100,0.000745
Track00164,Slakh 2100,2.809859,1.7294117,Slakh 2100,0.005366
Track00924,Slakh 2100,1.0882353,1.1725,Slakh 2100,0.005992
Track01172,Slakh 2100,1.9918699,0.9813084,Slakh 2100,0.001597
Track01264,Slakh 2100,3.6988974,2.6565096,Slakh 2100,0.004499
Track00892,Slakh 2100,0.36740333,0.4969574,Slakh 2100,0.00109
Track00502,Slakh 2100,3.12,3.5686274,Slakh 2100,0.000696
Track00357,Slakh 2100,1.930147,1.1032609,Slakh 2100,0.000334
Track01318,Slakh 2100,4.063796,3.0689654,Slakh 2100,0.008393
Track00218,Slakh 2100,2.8127854,1.8089888,Slakh 2100,0.003975
Track01324,Slakh 2100,3.950096,3.251185,Slakh 2100,0.002576
Track00264,Slakh 2100,3.4267015,3.3,Slakh 2100,0.000544
Track00119,Slakh 2100,4.4467483,3.9456522,Slakh 2100,0.002129
Track01382,Slakh 2100,2.121212,1.8472222,Slakh 2100,0.004119
Track00654,Slakh 2100,2.5566287,1.3850932,Slakh 2100,0.000256
Track00971,Slakh 2100,3.8276596,2.9282868,Slakh 2100,0.007977
Track00201,Slakh 2100,3.0341728,2.3062015,Slakh 2100,0.001214
Track00305,Slakh 2100,0.29166666,0.45515695,Slakh 2100,0.0
Track00758,Slakh 2100,3.6424417,3.1802468,Slakh 2100,0.002362
Track00906,Slakh 2100,0.27893737,1.225,Slakh 2100,0.005823
Track01274,Slakh 2100,4.0993886,3.3108108,Slakh 2100,0.001966
Track00385,Slakh 2100,1.344694,1.8333334,Slakh 2100,0.0
Track01185,Slakh 2100,6.0576925,0.8395552,Slakh 2100,0.000768
Track01048,Slakh 2100,2.75,1.3611112,Slakh 2100,0.000815
Track01108,Slakh 2100,0.74703556,1.7111111,Slakh 2100,0.005013
Track00071,Slakh 2100,3.73822,1.5184175,Slakh 2100,0.023517
Track00136,Slakh 2100,3.4274952,2.5344827,Slakh 2100,0.000202
Track00229,Slakh 2100,1.3216783,0.8347996,Slakh 2100,0.002483
Track00380,Slakh 2100,4.07563,3.5641549,Slakh 2100,0.007245
Track00522,Slakh 2100,2.2632794,1.6445783,Slakh 2100,0.003155
Track01236,Slakh 2100,4.002315,2.5763888,Slakh 2100,0.007656
Track00418,Slakh 2100,4.0963573,3.2307692,Slakh 2100,0.001318
Track00516,Slakh 2100,2.3333333,1.5657895,Slakh 2100,0.002384
Track01314,Slakh 2100,3.1982758,1.329114,Slakh 2100,0.000501
Track00383,Slakh 2100,0.121107265,1.8137652,Slakh 2100,0.005276
Track00152,Slakh 2100,3.5942307,3.5663958,Slakh 2100,0.009419
Track01487,Slakh 2100,2.538983,3.6438355,Slakh 2100,0.004486
Track00784,Slakh 2100,3.4477613,2.8712575,Slakh 2100,0.001475
Track00645,Slakh 2100,1.7559322,2.7222223,Slakh 2100,0.006928
Track00542,Slakh 2100,6.159782,4.5578094,Slakh 2100,0.000699
Track00672,Slakh 2100,3.7460938,3.0979729,Slakh 2100,0.005523
Track01170,Slakh 2100,1.1666666,1.0297619,Slakh 2100,0.0
Track00873,Slakh 2100,0.4625,0.37448558,Slakh 2100,0.003943
Track00154,Slakh 2100,2.2864323,2.1687117,Slakh 2100,0.028668
Track00901,Slakh 2100,0.95238096,0.64641553,Slakh 2100,0.02288
Track00028,Slakh 2100,2.2390573,1.7224606,Slakh 2100,0.001917
Track00341,Slakh 2100,3.4470842,0.9264706,Slakh 2100,0.006351
Track00024,Slakh 2100,1.0189873,1.0,Slakh 2100,0.007862
Track00551,Slakh 2100,3.0689654,1.5555556,Slakh 2100,0.003151
Track01462,Slakh 2100,3.086207,2.3063583,Slakh 2100,0.00424
Track01086,Slakh 2100,2.5662432,2.0249376,Slakh 2100,0.0
Track01427,Slakh 2100,2.3614457,2.36722,Slakh 2100,0.001407
Track01370,Slakh 2100,4.224138,0.546875,Slakh 2100,0.003184
