filename_base,dataset_mapped,pychord_atc_score,chordino_atc_score,dataset_name,f_measure
BeethovenLv__O10__lvb_sonate_10no2_1,MSMD,2.8950617,3.36,MSMD,0.017544
BachJS__BWV871__wtk2-prelude2,MSMD,3.8283186,4.443478,MSMD,0.005688
ChopinFF__O10__chp-10-05-let,MSMD,5.900641,2.4723403,MSMD,0.004882
BeethovenLv__O79__LVB_Sonate_79_2,MSMD,0.71794873,4.0,MSMD,0.001333
MinkusLA__bayadere-acteII__bayadere-acteII,MSMD,2.0169492,2.2826087,MSMD,0.006557
ChopinFF__O72__nocturne_in_e_minor,MSMD,1.75,4.0384617,MSMD,0.0
KuhlauF__O20__sonatine-1-andante,MSMD,2.7708333,2.851852,MSMD,0.00885
HaydnFJ__HOB-XVI-27__hob-xvi-27-i-allegro-con-brio,MSMD,2.40625,4.3163266,MSMD,0.003057
BachJS__BWV827__BWV-827-2,MSMD,0.21084337,0.0,MSMD,0.0
BeethovenLv__O2__LVB_Sonate_02no1_4,MSMD,3.3087676,5.6881976,MSMD,0.004614
Traditional__traditioner_af_swenska_folk_dansar.3.9__traditioner_af_swenska_folk_dansar.3.9,MSMD,1.9215686,0.36842105,MSMD,0.00939
RachmaninoffS__O23__rach-prelude23-09,MSMD,1.5577465,0.36567163,MSMD,0.0
BachJS__BWV816__french-suite-5-sarabande,MSMD,1.3827161,1.4,MSMD,0.002278
BachJS__BWV1080__contrapunctusXII,MSMD,2.3419118,0.0,MSMD,0.0
RameauJP__plaintes__plaintes,MSMD,0.67741936,0.0,MSMD,0.001667
BachJS__BWV781__bach-invention-10,MSMD,1.645,0.06666667,MSMD,0.0
BachJS__BWV778__bach-invention-07,MSMD,1.6835443,0.0,MSMD,0.00554
Traditional__traditioner_af_swenska_folk_dansar.1.7__traditioner_af_swenska_folk_dansar.1.7,MSMD,0.7,0.0,MSMD,0.0
SchumannR__O15__SchumannOp15No03,MSMD,3.625,3.1881187,MSMD,0.008942
HandelGF__Aylesford__16-airmitvar,MSMD,1.7058823,2.25,MSMD,0.001674
Traditional__traditioner_af_swenska_folk_dansar.3.23__traditioner_af_swenska_folk_dansar.3.23,MSMD,1.7111111,0.0,MSMD,0.0
MozartWA__KV545__K545-3,MSMD,3.1233597,1.3263158,MSMD,0.0
Mendelssohn-BartholdyF__O19__5.Inquietude,MSMD,0.4117647,0.0,MSMD,0.001394
