metric,correlation,p_value
ioi_entropy_piece,-0.4216661494393276,2.1103857063884967e-75
std_polyphony,-0.37513140634675163,7.895900117439695e-59
seg_poly_std,-0.37513140634675163,7.895900117439695e-59
seg_max_poly,-0.30937828427464165,1.2706472357842513e-39
max_polyphony,-0.30937828427464165,1.2706472357842513e-39
pitch_class_entropy_piece,0.3004723962840801,2.288762109111174e-37
seg_avg_poly,-0.12219151601007022,3.517808697307711e-07
avg_polyphony,-0.12219151601007022,3.517808697307711e-07
melodic_interval_entropy_piece,0.1181999615857809,8.402537637935091e-07
polyphony_density,0.09985062348356566,3.225966770686105e-05
seg_poly_density,0.09985062348356566,3.225966770686105e-05
tonal_certainty_piece,0.06765509818809902,0.004912086978258794
