model_name,dataset_name,midi_filename,duration_seconds,reference_midi_instruments,transcription_midi_instruments,precision,recall,f_measure,average_overlap_ratio,precision_no_offset,recall_no_offset,f_measure_no_offset,average_overlap_ratio_no_offset,onset_precision,onset_recall,onset_f_measure,offset_precision,offset_recall,offset_f_measure,runtime
Bytedance_Piano_transcription,MSMD,BachJS__BWV851__bwv851_fugue06.wav,96.589206,2,1,0.901547,0.896503,0.899018,0.964511,0.997187,0.991608,0.99439,0.92513,0.997187,0.991608,0.99439,0.925457,0.92028,0.922861,35.721829
Bytedance_Piano_transcription,MSMD,BachJS__BWV853__bwv853a.wav,180.003991,2,1,0.847692,0.807918,0.827327,0.966246,0.995385,0.94868,0.971471,0.904284,0.995385,0.94868,0.971471,0.887692,0.846041,0.866366,48.155427
Bytedance_Piano_transcription,MSMD,BachJS__BWV853__bwv853b.wav,282.164535,2,1,0.835756,0.83273,0.83424,0.96524,0.99564,0.992035,0.993834,0.89869,0.99564,0.992035,0.993834,0.87282,0.86966,0.871237,51.657025
Bytedance_Piano_transcription,MSMD,BachJS__BWV855__bwv855b.wav,61.753469,2,1,0.830049,0.831073,0.830561,0.936405,0.997537,0.998767,0.998152,0.855775,0.997537,0.998767,0.998152,0.871921,0.872996,0.872458,35.913586
Bytedance_Piano_transcription,MSMD,BachJS__BWV856__BWV856_Fugue11.wav,70.437732,2,1,0.84488,0.83982,0.842342,0.962983,0.998494,0.992515,0.995495,0.88883,0.998494,0.992515,0.995495,0.878012,0.872754,0.875375,38.279999
Bytedance_Piano_transcription,MSMD,BachJS__BWV856__BWV856_Praeludium11.wav,62.310748,2,1,0.873684,0.870629,0.872154,0.953247,1.0,0.996503,0.998249,0.890776,1.0,0.996503,0.998249,0.898246,0.895105,0.896673,36.673922
Bytedance_Piano_transcription,MSMD,BachJS__BWV860__BWV860_Fuga15.wav,227.649887,2,1,0.863986,0.862965,0.863475,0.96409,0.998817,0.997637,0.998227,0.900143,0.998817,0.997637,0.998227,0.900059,0.898996,0.899527,49.708973
Bytedance_Piano_transcription,MSMD,BachJS__BWV860__BWV860_Praeludium15.wav,69.093878,2,1,0.849587,0.845395,0.847486,0.957032,1.0,0.995066,0.997527,0.886679,1.0,0.995066,0.997527,0.877686,0.873355,0.875515,35.766752
Bytedance_Piano_transcription,MSMD,BachJS__BWV861__BWV861_Fuga16.wav,120.002177,2,1,0.814266,0.809906,0.812081,0.965722,1.0,0.994645,0.997315,0.881733,1.0,0.994645,0.997315,0.870794,0.866131,0.868456,44.08076
Bytedance_Piano_transcription,MSMD,BachJS__BWV861__BWV861_Praeludium16.wav,168.89034,2,1,0.857143,0.853933,0.855535,0.973152,0.99812,0.994382,0.996248,0.910284,0.99812,0.994382,0.996248,0.898496,0.895131,0.896811,43.995613
