model_name,dataset_name,midi_filename,duration_seconds,reference_midi_instruments,transcription_midi_instruments,precision,recall,f_measure,average_overlap_ratio,precision_no_offset,recall_no_offset,f_measure_no_offset,average_overlap_ratio_no_offset,onset_precision,onset_recall,onset_f_measure,offset_precision,offset_recall,offset_f_measure,runtime
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_05_R1_2015_wav--4.wav,156.23229,1,1,0.047682,0.051161,0.04936,0.428767,0.074172,0.079583,0.076782,0.272348,0.313907,0.336807,0.324954,0.29713,0.318806,0.307587,820.474492
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_19_R1_2015_wav--4.wav,219.15,1,1,0.009169,0.042516,0.015085,0.463845,0.024069,0.111603,0.039598,0.228779,0.105635,0.489814,0.17379,0.098376,0.456156,0.161848,1093.512148
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--2.wav,209.179184,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.771599
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_18_R1_2015_wav--2.wav,211.989569,1,1,0.005956,0.008022,0.006837,0.33715,0.008706,0.011725,0.009992,0.151212,0.230011,0.309781,0.264002,0.22268,0.299907,0.255588,1159.916581
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_08_R1_2015_wav--3.wav,218.912517,1,1,0.017608,0.028078,0.021643,0.427015,0.029992,0.047825,0.036865,0.280269,0.238003,0.379512,0.292544,0.209365,0.333848,0.257343,1155.64
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_12_R1_2015_wav--3.wav,242.522925,1,1,0.011197,0.034831,0.016947,0.420419,0.027271,0.084831,0.041274,0.203299,0.148456,0.461798,0.224682,0.138703,0.431461,0.209922,1196.660228
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_08_R1_2015_wav--1.wav,286.801043,1,1,0.027124,0.119316,0.0442,0.471521,0.054468,0.2396,0.088759,0.358746,0.194634,0.856175,0.317166,0.164871,0.72525,0.268666,1417.275348
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--3.wav,286.824989,1,1,0.01625,0.015774,0.016008,0.423921,0.042301,0.041062,0.041672,0.246198,0.248904,0.241612,0.245204,0.229043,0.222334,0.225638,1458.252091
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_05_R1_2015_wav--2.wav,313.771859,1,1,0.003475,0.02001,0.005921,0.4633,0.032787,0.188815,0.055872,0.158614,0.109408,0.630067,0.186442,0.106112,0.611083,0.180824,1514.061439
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_21_R1_2015_wav--2.wav,315.56771,1,1,0.053919,0.209502,0.085764,0.451317,0.067693,0.263022,0.107674,0.36397,0.193651,0.752433,0.308026,0.168533,0.654837,0.268073,1523.712599
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_11_R1_2015_wav--3.wav,151.629184,1,1,0.065821,0.09191,0.076708,0.4306,0.09119,0.127334,0.106272,0.311045,0.328762,0.459071,0.38314,0.306136,0.427477,0.356772,868.759802
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--2.wav,340.175011,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1715.020281
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_03_R1_2015_wav--3.wav,337.258345,1,1,0.004358,0.012935,0.00652,0.169205,0.008717,0.025871,0.01304,0.060873,0.195709,0.580846,0.292772,0.190428,0.565174,0.284872,1711.6963
