midi_filename,dataset_name,file_path,total_processing_time,timestamp,pychord_atc_score,pychord_processing_time,pychord_accd_score,pychord_rccd_score,pychord_acc_score,chordino_atc_score,chordino_processing_time,chordino_accd_score,chordino_rccd_score,chordino_acc_score,atc_score_difference,rccd_score_difference
1854.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/1854.mid,17.324984312057495,2025-09-16 19:10:02.490155,0.0,7.926198720932007,0,0,0,0.7777778,9.397694110870361,7.0,0.7777778,-1.0,0.7777778,0.7777778
0892.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/0892.mid,26.398311853408813,2025-09-16 19:10:11.563121,0.0,12.479224681854248,0,0,0,0.25925925,13.917436122894287,7.0,0.25925925,-1.0,0.25925925,0.25925925
0599.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/0599.mid,12.996463060379028,2025-09-16 19:10:15.487710,0.0,5.257015228271484,0,0,0,0.0,7.738673210144043,,0.0,,0.0,0.0
0508.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/0508.mid,16.899105310440063,2025-09-16 19:10:32.387237,0.0,7.192166805267334,0,0,0,,9.705997943878174,,,,,
1131.mid,aam,/scratch/gilbreth/shang33/AIM/datasets/aam/aam_dataset/1131.mid,36.93002796173096,2025-09-16 19:10:48.494149,0.0,21.72496795654297,0,0,0,0.0,15.20258355140686,,0.0,,0.0,0.0
