midi_filename,dataset_name,file_path,total_processing_time,timestamp,pychord_atc_score,pychord_processing_time,pychord_accd_score,pychord_rccd_score,pychord_acc_score,pychord_error,chordino_atc_score,chordino_processing_time,chordino_accd_score,chordino_rccd_score,chordino_acc_score,atc_score_difference,rccd_score_difference
Track00887.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00887/Track00887.mid,51.27399253845215,2025-08-20 17:43:28.101107,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.3125,51.227564096450806,7.0,1.3125,-1.0,1.3125,1.3125
Track00736.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00736/Track00736.mid,24.291166305541992,2025-08-20 17:43:33.361582,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,3.6060605,24.24732995033264,7.0,3.6060605,-1.0,3.6060605,3.6060605
Track00788.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00788/Track00788.mid,23.64739680290222,2025-08-20 17:43:40.916373,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.5992714,23.61266040802002,7.0,0.5992714,-1.0,0.5992714,0.5992714
Track00308.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00308/Track00308.mid,44.086742639541626,2025-08-20 17:43:43.000895,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.440141,44.03738832473755,7.0,2.440141,-1.0,2.440141,2.440141
Track00363.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00363/Track00363.mid,36.861374378204346,2025-08-20 17:43:44.256446,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.76150626,36.825958013534546,7.0,0.76150626,-1.0,0.76150626,0.76150626
Track00202.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00202/Track00202.mid,43.26113986968994,2025-08-20 17:43:46.237117,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,3.052459,43.225088119506836,7.0,3.052459,-1.0,3.052459,3.052459
Track00690.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00690/Track00690.mid,20.225284337997437,2025-08-20 17:43:48.327493,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.43362832,20.032620191574097,7.0,0.43362832,-1.0,0.43362832,0.43362832
Track00278.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00278/Track00278.mid,29.030584812164307,2025-08-20 17:43:51.052913,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.5273973,28.979647397994995,7.0,0.5273973,-1.0,0.5273973,0.5273973
Track01399.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01399/Track01399.mid,50.78001689910889,2025-08-20 17:43:51.931730,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,3.669697,50.74122858047485,7.0,3.669697,-1.0,3.669697,3.669697
Track00855.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00855/Track00855.mid,31.846238374710083,2025-08-20 17:44:05.208248,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.4206897,31.81047558784485,7.0,1.4206897,-1.0,1.4206897,1.4206897
Track00157.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00157/Track00157.mid,5.842644453048706,2025-08-20 17:44:11.051315,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.4117647,5.804919719696045,7.0,0.4117647,-1.0,0.4117647,0.4117647
Track00533.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00533/Track00533.mid,38.13265252113342,2025-08-20 17:44:19.049332,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.2072785,38.09105682373047,7.0,1.2072785,-1.0,1.2072785,1.2072785
Track00060.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00060/Track00060.mid,28.678574562072754,2025-08-20 17:44:20.610796,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,3.2039802,28.641270637512207,7.0,3.2039802,-1.0,3.2039802,3.2039802
