midi_filename,dataset_name,file_path,total_processing_time,timestamp,pychord_atc_score,pychord_processing_time,pychord_accd_score,pychord_rccd_score,pychord_acc_score,chordino_atc_score,chordino_processing_time,chordino_accd_score,chordino_rccd_score,chordino_acc_score,atc_score_difference,rccd_score_difference
085_DragonBusterII_YaminoFuuin_12_13NorthernEuropeRound6.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/085_DragonBusterII_YaminoFuuin_12_13NorthernEuropeRound6.mid,8.774277687072754,2025-08-15 16:34:31.737760,6.111111,0.8721365928649902,7.0,6.111111,0,4.387681,7.900864124298096,7.0,4.387681,-1.0,1.7234300000000005,1.7234300000000005
236_MickeyMousecapade_02_03Fairy.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/236_MickeyMousecapade_02_03Fairy.mid,3.5714688301086426,2025-08-15 16:34:32.797209,4.7659574,0.5396444797515869,7.0,4.7659574,0,4.117647,3.0309159755706787,7.0,4.117647,-1.0,0.6483103999999997,0.6483103999999997
014_Argus_01_02BGM1.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/014_Argus_01_02BGM1.mid,5.029569864273071,2025-08-15 16:34:33.547971,,0.940889835357666,,,0,4.1292133,4.087626218795776,7.0,4.1292133,-1.0,,
025_BatmanReturns_15_16StageClear.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/025_BatmanReturns_15_16StageClear.mid,1.9346446990966797,2025-08-15 16:34:33.672720,5.419355,0.460299015045166,7.0,5.419355,0,3.25,1.473717451095581,7.0,3.25,-1.0,2.1693550000000004,2.1693550000000004
105_FamicomJump_HeroRetsuden_23_24Training.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/105_FamicomJump_HeroRetsuden_23_24Training.mid,2.1372487545013428,2025-08-15 16:34:35.810295,4.4210525,0.6011354923248291,7.0,4.4210525,0,1.9444444,1.5354247093200684,7.0,1.9444444,-1.0,2.4766081,2.4766081
169_IceClimber_02_03BonusStage.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/169_IceClimber_02_03BonusStage.mid,4.500413179397583,2025-08-15 16:34:38.048731,6.034483,0.7738134860992432,7.0,6.034483,0,4.586207,3.7254867553710938,7.0,4.586207,-1.0,1.448276,1.448276
250_NinjaGaiden_04_05BraveryOntheClutches.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/250_NinjaGaiden_04_05BraveryOntheClutches.mid,37.37587332725525,2025-08-15 16:34:39.629911,4.401035,2.7095978260040283,7.0,4.401035,0,2.5850341,34.66110968589783,7.0,2.5850341,-1.0,1.8160009000000001,1.8160009000000001
135_GanbareGoemonGaiden2_TenkanoZaih__77_78TobunbeeTravel.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/135_GanbareGoemonGaiden2_TenkanoZaih__77_78TobunbeeTravel.mid,4.920501708984375,2025-08-15 16:34:40.731101,5.047619,0.8391451835632324,7.0,5.047619,0,3.3636363,4.080369710922241,7.0,3.3636363,-1.0,1.6839827,1.6839827
277_RainbowIslands_TheStoryofBubbleBobble2_05_06Clear.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/277_RainbowIslands_TheStoryofBubbleBobble2_05_06Clear.mid,2.9682018756866455,2025-08-15 16:34:41.017268,,0.5131750106811523,,,0,2.9814816,2.4542598724365234,7.0,2.9814816,-1.0,,
356_TimesofLore_02_03Overworld.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/356_TimesofLore_02_03Overworld.mid,17.824307203292847,2025-08-15 16:34:41.940531,5.438849,1.3223023414611816,7.0,5.438849,0,4.100264,16.49982213973999,7.0,4.100264,-1.0,1.3385850000000001,1.3385850000000001
174_ImageFight_12_13SongCContinue.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/174_ImageFight_12_13SongCContinue.mid,2.4648654460906982,2025-08-15 16:34:42.095113,6.9270835,0.6585302352905273,7.0,6.9270835,0,5.571429,1.8053114414215088,7.0,5.571429,-1.0,1.3556545,1.3556545
287_S_C_A_T__SpecialCyberneticAttackTeam_10_11Stage5.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/287_S_C_A_T__SpecialCyberneticAttackTeam_10_11Stage5.mid,13.123435020446777,2025-08-15 16:34:42.448319,4.9736843,1.5043315887451172,7.0,4.9736843,0,2.1762822,11.617387056350708,7.0,2.1762822,-1.0,2.7974021000000002,2.7974021000000002
160_HiryunoKenIII_5NinnoRyuSenshi_08_09Discovery.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/160_HiryunoKenIII_5NinnoRyuSenshi_08_09Discovery.mid,1.8279833793640137,2025-08-15 16:34:43.768843,,0.4834263324737549,,,0,2.6923077,1.343874216079712,7.0,2.6923077,-1.0,,
229_MegaMan6_10_11PlantManStage.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/229_MegaMan6_10_11PlantManStage.mid,17.306589603424072,2025-08-15 16:34:44.154703,4.810757,1.4396724700927734,7.0,4.810757,0,4.36811,15.863399982452393,7.0,4.36811,-1.0,0.442647,0.442647
184_KekkyokuNankyokuDaibouken_02_03CourseClear.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/184_KekkyokuNankyokuDaibouken_02_03CourseClear.mid,2.005911111831665,2025-08-15 16:34:46.161530,,0.7001183032989502,,,0,2.8,1.3050267696380615,7.0,2.8,-1.0,,
208_LodeRunner_00_01TitleScreen.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/208_LodeRunner_00_01TitleScreen.mid,3.746169328689575,2025-08-15 16:34:47.515332,6.740741,0.8925971984863281,7.0,6.740741,0,3.2975206,2.852689504623413,7.0,3.2975206,-1.0,3.4432204,3.4432204
121_FireEmblemGaiden_07_08Fight1PlayerSide.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/121_FireEmblemGaiden_07_08Fight1PlayerSide.mid,6.862971782684326,2025-08-15 16:34:47.880573,4.5049505,1.128720760345459,7.0,4.5049505,0,0.99382716,5.733148813247681,7.0,0.99382716,-1.0,3.5111233399999997,3.5111233399999997
109_Famista_91_18_19HomeRunChanceChanceBGM.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/109_Famista_91_18_19HomeRunChanceChanceBGM.mid,2.2313039302825928,2025-08-15 16:34:50.112212,4.117647,0.5486280918121338,7.0,4.117647,0,1.7192982,1.681980848312378,7.0,1.7192982,-1.0,2.3983488,2.3983488
170_IkariIII_TheRescue_04_05AreaClear.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/170_IkariIII_TheRescue_04_05AreaClear.mid,2.779313564300537,2025-08-15 16:34:50.294952,6.0,0.6675379276275635,7.0,6.0,0,2.5,2.111042022705078,7.0,2.5,-1.0,3.5,3.5
363_TwinBee3_PokoPokoDaimaou_14_15FinalStageNormalBGM.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/363_TwinBee3_PokoPokoDaimaou_14_15FinalStageNormalBGM.mid,17.83807921409607,2025-08-15 16:34:50.635623,3.7889152,2.0498952865600586,7.0,3.7889152,0,2.5119617,15.785746812820435,7.0,2.5119617,-1.0,1.2769534999999999,1.2769534999999999
090_DragonWarriorIII_01_02Intermezzo.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/090_DragonWarriorIII_01_02Intermezzo.mid,10.892026662826538,2025-08-15 16:34:51.623434,6.0454545,1.1158530712127686,7.0,6.0454545,0,5.1434784,9.774093389511108,7.0,5.1434784,-1.0,0.9019760999999997,0.9019760999999997
272_Quarth_06_07Unknown.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/272_Quarth_06_07Unknown.mid,10.062633991241455,2025-08-15 16:34:52.158123,4.070103,1.2147867679595947,7.0,4.070103,0,4.04,8.845973253250122,7.0,4.04,-1.0,0.030102999999999547,0.030102999999999547
253_Nobunaga_sAmbition_00_01OvertureNobunagasAmbitionOpeningEnding.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/253_Nobunaga_sAmbition_00_01OvertureNobunagasAmbitionOpeningEnding.mid,2.8003547191619873,2025-08-15 16:34:52.912902,,0.5761637687683105,,,0,4.7777777,2.223252058029175,7.0,4.7777777,-1.0,,
